species,year,avgcatch,catchUCI,catchLCI
40,1978,436.7959253,769.72217,103.8696807
40,1979,605.6735788,776.2729352,435.0742225
40,1980,424.753481,576.0913981,273.4155639
40,1981,417.0945455,647.1156702,187.0734209
40,1982,230.2189765,329.5889863,130.8489667
40,1983,246.445552,325.2045161,167.686588
40,1984,141.2806705,176.8439309,105.7174101
40,1985,169.2531733,204.7643674,133.7419792
40,1986,203.3612753,265.4611801,141.2613705
40,1987,212.8450624,277.9380233,147.7521016
40,1988,210.4007162,291.693603,129.1078293
40,1989,176.978508,218.2854714,135.6715446
40,1990,302.6709288,374.2039411,231.1379165
40,1991,313.8724498,383.7418989,244.0030007
40,1992,218.4682561,261.2304443,175.7060678
40,1993,182.1933972,215.7254158,148.6613785
40,1994,182.5407915,228.7577922,136.3237908
40,1995,153.1784137,178.5663305,127.7904969
40,1996,148.1520687,173.281013,123.0231243
40,1997,114.3113472,133.7066671,94.91602724
40,1998,129.5085349,152.2322509,106.7848188
40,1999,113.4588754,134.1421125,92.77563823
40,2000,104.8256207,130.3759789,79.2752626
40,2001,103.0368887,133.1515147,72.92226259
40,2002,90.70937381,103.390836,78.02791161
40,2003,169.1980888,204.2553029,134.1408748
40,2004,94.55241507,111.9056509,77.19917927
40,2005,111.9817049,130.5925328,93.37087698
40,2006,107.962118,126.7314093,89.19282672
40,2007,114.3502448,133.4257451,95.27474449
40,2008,154.5288306,181.4643066,127.5933545
40,2009,99.6787245,120.6564721,78.70097688
40,2010,166.5894755,246.0746226,87.10432852
40,2011,131.8965199,158.3352754,105.4577645
40,2012,115.4489637,139.2308464,91.66708089
40,2013,160.7135442,189.4592285,131.9678598
40,2014,157.5716319,194.2117018,120.931562
40,2015,155.9622162,190.0167065,121.9077259
40,2016,120.9360228,144.646344,97.22570161
40,2017,120.0186589,151.1788102,88.85850749
40,2018,104.4513495,129.7294656,79.17323346
40,2019,178.221901,237.5444535,118.8993484
40,2020,127.4741109,182.1980964,72.75012534
41,1971,2.267704784,4.476899783,0.058509784
41,1972,1.119413032,2.140613585,0.098212478
41,1973,1.503510658,3.071128385,0
41,1974,1.78011686,2.4321341,1.12809962
41,1975,1.481551668,2.102575999,0.860527336
41,1976,1.606664453,2.380008137,0.833320769
41,1977,2.182264309,3.685713203,0.678815414
41,1978,1.035543685,1.876964194,0.194123177
41,1979,1.655169192,2.868068053,0.442270332
41,1980,0.951218295,1.476908839,0.42552775
41,1981,0.627215759,0.93823414,0.316197377
41,1982,0.615808218,0.874287295,0.357329141
41,1983,0.483990782,0.700178165,0.267803399
41,1984,0.519968437,0.75109382,0.288843054
41,1985,0.518442024,0.692092257,0.344791791
41,1986,1.345440343,1.901217389,0.789663296
41,1987,1.236145682,1.629627194,0.842664171
41,1988,1.925682273,2.593681267,1.25768328
41,1989,1.235791305,1.68086805,0.790714561
41,1990,1.156444117,1.815863515,0.497024719
41,1991,0.738891706,0.908810358,0.568973053
41,1992,0.628558987,0.852549041,0.404568933
41,1993,1.691142752,2.691842947,0.690442557
41,1994,1.774734142,2.79899049,0.750477793
41,1995,1.456410394,2.042777304,0.870043484
41,1996,3.625994116,5.51123535,1.740752881
41,1997,1.090607897,1.739841433,0.44137436
41,1998,3.155365881,4.854044917,1.456686844
41,1999,4.218136256,8.242386936,0.193885577
41,2000,3.165630575,5.255116066,1.076145084
41,2001,2.280779436,3.309825006,1.251733866
41,2002,4.225538613,7.380205847,1.070871378
41,2003,1.141197597,1.674502065,0.607893129
41,2004,1.556312229,2.809084304,0.303540154
41,2005,2.528966609,3.504552742,1.553380476
41,2006,2.194514775,3.338823291,1.05020626
41,2007,1.258081285,1.753404748,0.762757822
41,2008,3.605361611,5.450751939,1.759971284
41,2009,2.463219199,3.817772724,1.108665674
41,2010,2.197116623,3.168778493,1.225454753
41,2011,3.251965339,4.890324101,1.613606578
41,2012,2.780187255,4.342131394,1.218243117
41,2013,3.351854962,5.404585609,1.299124314
41,2014,2.15060391,2.943826076,1.357381745
41,2015,1.793774443,2.279430379,1.308118507
41,2016,3.845834563,6.106153036,1.58551609
41,2017,4.252187683,6.875751896,1.62862347
41,2018,2.184566185,3.143957441,1.225174929
41,2019,5.9328074,12.26972547,0
41,2020,5.801107613,8.775682307,2.82653292
42,1971,3.619704485,6.38521019,0.854198779
42,1972,4.208804232,6.938373572,1.479234892
42,1973,5.836166858,11.16238929,0.509944424
42,1974,9.797813671,16.84227093,2.753356413
42,1975,6.046299709,11.13088848,0.961710937
42,1976,5.44916306,7.829754035,3.068572085
42,1977,20.82733387,33.23723624,8.41743151
42,1978,12.57293263,21.06552405,4.080341213
42,1979,19.30717168,36.77167582,1.84266754
42,1980,19.08883315,25.75061976,12.42704654
42,1981,30.44016052,63.34290977,0
42,1982,14.73029098,20.4482204,9.012361569
42,1983,20.31910101,41.85062933,0
42,1984,4.15682003,6.224466205,2.089173855
42,1985,13.06384168,20.99338051,5.134302846
42,1986,18.51055624,27.33564973,9.685462744
42,1987,14.38919488,23.02773677,5.750653001
42,1988,19.15716827,31.00148776,7.312848781
42,1989,11.16299782,16.17016532,6.155830327
42,1990,16.17357556,23.01087341,9.336277719
42,1991,19.92431324,28.57969199,11.26893449
42,1992,15.18538456,20.1926328,10.17813632
42,1993,24.67673772,34.42088712,14.93258833
42,1994,16.21195194,23.12229942,9.301604461
42,1995,23.60394956,32.83481411,14.37308502
42,1996,17.53503599,22.78968532,12.28038666
42,1997,14.28479994,19.77112372,8.798476158
42,1998,15.1387724,20.26201351,10.01553129
42,1999,22.84025244,32.69839424,12.98211064
42,2000,21.71975204,30.31311176,13.12639232
42,2001,21.6998878,29.51231586,13.88745974
42,2002,16.52554098,22.03096677,11.02011519
42,2003,11.3234412,15.09826095,7.548621452
42,2004,22.46065064,33.30607332,11.61522796
42,2005,17.48120358,25.38359068,9.578816489
42,2006,24.28119958,32.15246631,16.40993285
42,2007,18.12736655,23.51807677,12.73665633
42,2008,20.05803742,28.31714161,11.79893323
42,2009,15.68816455,20.84157828,10.53475082
42,2010,20.03122635,25.57686049,14.48559221
42,2011,13.90512992,17.39153861,10.41872123
42,2012,16.42117718,21.89244164,10.94991273
42,2013,23.03499317,32.04941558,14.02057076
42,2014,15.59730072,20.94947598,10.24512546
42,2015,16.75377542,24.73286009,8.774690735
42,2016,7.612601084,10.07567768,5.149524491
42,2017,10.43284605,14.99754028,5.868151814
42,2018,9.235090907,14.22183498,4.248346832
42,2019,13.37106383,19.36119823,7.380929425
42,2020,9.907492211,13.43824767,6.376736752
43,1971,19.21275263,36.15836214,2.267143116
43,1972,22.08941432,35.11232502,9.066503608
43,1973,21.15379705,26.18652062,16.12107348
43,1974,79.28638111,119.3408112,39.23195104
43,1975,33.75803314,43.55264635,23.96341993
43,1976,151.4515167,324.6345269,0
43,1977,23.49126325,41.08702937,5.895497122
43,1978,55.00123398,95.03590489,14.96656308
43,1979,36.40123502,53.98089142,18.82157863
43,1980,62.78601196,97.80754294,27.76448098
43,1981,57.755265,88.45149109,27.05903891
43,1982,39.52763472,55.80432221,23.25094723
43,1983,79.99319702,135.2905203,24.69587374
43,1984,18.60957159,30.96627004,6.252873148
43,1985,24.56673561,40.90025033,8.233220898
43,1986,38.06446345,52.4312826,23.69764431
43,1987,20.39720449,33.24153691,7.552872065
43,1988,32.04051027,54.24350724,9.837513292
43,1989,44.80569934,68.25283276,21.35856592
43,1990,53.83515019,81.706981,25.96331937
43,1991,35.97574845,65.89974738,6.051749528
43,1992,44.93066945,72.50937445,17.35196445
43,1993,25.87585894,40.87397091,10.87774697
43,1994,21.4895241,31.88410695,11.09494126
43,1995,57.71299853,95.96718798,19.45880907
43,1996,31.65177462,45.82921266,17.47433657
43,1997,33.77801022,51.18399539,16.37202506
43,1998,23.51124992,35.56281973,11.4596801
43,1999,35.67905283,49.44221233,21.91589332
43,2000,45.71346224,65.87552154,25.55140293
43,2001,30.93563558,52.50578024,9.365490914
43,2002,46.86026256,67.16864297,26.55188216
43,2003,32.39749867,44.15690252,20.63809483
43,2004,31.51620067,44.62344667,18.40895466
43,2005,55.68625872,125.4707229,0
43,2006,28.91804097,43.00175196,14.83432997
43,2007,27.68373627,41.51457139,13.85290116
43,2008,22.2664178,31.01712213,13.51571346
43,2009,42.54098012,80.54524311,4.536717128
43,2010,26.19703288,40.7119054,11.68216035
43,2011,13.05676685,22.99489025,3.118643451
43,2012,9.289879504,13.60285343,4.976905577
43,2013,14.36838733,22.68038946,6.056385194
43,2014,19.32789056,30.92863931,7.727141816
43,2015,13.23786085,19.01788058,7.457841123
43,2016,10.51502921,17.15915217,3.870906253
43,2017,14.25066269,24.55666393,3.944661441
43,2018,6.494328187,10.82764364,2.161012739
43,2019,21.429682,39.93900812,2.920355891
